,station,id,name,category,menu,tel,addr,lat,lng,ribbonType,priceRange
0,공덕,29544,대물상회,"['한식(어패류)', '생선회']",오늘의메뉴(7만원),02-712-1237,서울특별시 마포구 도화동 2-60,37.5408011604849,126.95248554210742,RIBBON_TWO,4~10만원대
1,공덕,1104,마포옥,"['한식(육류)', '수육', '한식(탕/국/찌개/전골)', '설렁탕']","양지설렁탕(1만5천원, 특 2만원), 차돌탕(2만5천원), 차돌수육(5만8천원), 모둠수육(소 4만3천원, 대 5만3천원)",02-716-6661,서울특별시 마포구 용강동 50-13 마포옥,37.53988,126.9433,RIBBON_TWO,1~2만원대
2,공덕,6705,성우서서갈비,"['한식(육류)', '소갈비']",한우소갈비(2대 2만원),02-718-8543,서울특별시 마포구 용강동 45-21,37.54153,126.9421,RIBBON_TWO,2~4만원대
3,공덕,28318,여명,"['중식', '일반중식']","간짜장, 짬뽕, 볶음밥(각 7천원), 양장피, 오향장육, 유린기(각 소 2만4천원, 대 3만2천원), 탕수육(소 1만7천원, 대 2만2천원), 전가복(소 5만원, 대 7만원), 군만두(7천원)",02-711-5468,서울특별시 마포구 도화동 181-2,37.542049,126.950949,RIBBON_TWO,1만원 미만
4,공덕,3739,역전회관,"['한식(어패류)', '낙지', '한식(육류)', '소불고기', '한식(탕/국/찌개/전골)', '선지해장국']","바싹불고기, 매운바싹불고기(각 3만원), 바싹불고기백반, 매운바싹불고기백반(각 1만5천5백원), 선지술국(1만1천원), 역전해장국(1만원), 산낙지구이(4만5천원), 산낙지초회(4만2천원)",02-703-0019,서울특별시 마포구 염리동 173-21,37.54288,126.947,RIBBON_TWO,2~4만원대
5,공덕,1505,진미식당,"['한식(어패류)', '게장']","간장게장정식(4만1천원), 게장포장(3만5천원)",02-3211-4468,서울특별시 마포구 공덕동 105-127 선화의원,37.55055,126.9558,RIBBON_TWO,2~4만원대
6,공덕,29835,타쿠미야,"['디저트/차/베이커리', '식빵']","생식빵(half 5천원, full 9천원), 식빵슬라이스, 식빵크루통(각 3천원), 잼(9천원)",02-713-5536,서울특별시 마포구 공덕동 476 공덕파크자이,37.544749366441955,126.94826001068026,RIBBON_TWO,1만원 미만
7,공덕,27255,프릳츠,"['디저트/차/베이커리', '베이커리', '커피전문점']","베리에이션커피(4천2백원~5천원), 브루잉커피(5천5백원), 콜드브루(4천7백원), 크루아상(2천7백원), 팽오쇼콜라, 올리브루스틱(각 3천3백원), 무화과강파뉴(4천8백원), 우유식빵(4천3백원)",02-3275-2045,서울특별시 마포구 도화동 179-9,37.540976,126.949047,RIBBON_TWO,1만원 미만
8,공덕,29186,핑하오,"['중식', '일반중식']","깐풍기, 깐풍새우, 유린기(각 소 2만8천원, 대 4만2천원), 탕수육(2만2천원, 대 3만3천원), 오향장족(소 2만8천원, 대 4만2천원), 짜장면(6천원), XO게살볶음밥(8천5백원), 우육탕면(1만원)",02-3274-1188,서울특별시 마포구 도화동 50-1 일진빌딩,37.540424,126.946225,RIBBON_TWO,2~4만원대
9,공덕,30827,계고기집,"['한식(가금류)', '닭갈비']","소금숯불구이(1만2천원), 양념숯불구이(1만3천원), 숯불무뼈닭발(1만1천원)",02-717-7624,서울특별시 마포구 염리동 157-8,37.5459839648361,126.945564274909,RIBBON_ONE,1~2만원대
