,자치구,동
0,종로구,사직동
1,종로구,삼청동
2,종로구,부암동
3,종로구,평창동
4,종로구,무악동
5,종로구,교남동
6,종로구,가회동
7,종로구,종로1.2.3.4가동
8,종로구,종로5.6가동
9,종로구,이화동
10,종로구,창신1동
11,종로구,창신2동
12,종로구,창신3동
13,종로구,숭인1동
14,종로구,숭인2동
15,종로구,청운효자동
16,종로구,혜화동
17,중구,소공동
18,중구,회현동
19,중구,명동
20,중구,필동
21,중구,장충동
22,중구,광희동
23,중구,을지로동
24,중구,신당5동
25,중구,황학동
26,중구,중림동
27,중구,신당동
28,중구,다산동
29,중구,약수동
30,중구,청구동
31,중구,동화동
32,용산구,후암동
33,용산구,용산2가동
34,용산구,남영동
35,용산구,원효로2동
36,용산구,효창동
37,용산구,용문동
38,용산구,이촌1동
39,용산구,이촌2동
40,용산구,이태원1동
41,용산구,이태원2동
42,용산구,서빙고동
43,용산구,보광동
44,용산구,청파동
45,용산구,원효로1동
46,용산구,한강로동
47,용산구,한남동
48,성동구,왕십리2동
49,성동구,마장동
50,성동구,사근동
51,성동구,행당1동
52,성동구,행당2동
53,성동구,응봉동
54,성동구,금호1가동
55,성동구,금호4가동
56,성동구,성수1가1동
57,성동구,성수1가2동
58,성동구,성수2가1동
59,성동구,성수2가3동
60,성동구,송정동
61,성동구,용답동
62,성동구,왕십리도선동
63,성동구,금호2.3가동
64,성동구,옥수동
65,광진구,화양동
66,광진구,군자동
67,광진구,중곡1동
68,광진구,중곡2동
69,광진구,중곡3동
70,광진구,중곡4동
71,광진구,능동
72,광진구,구의1동
73,광진구,구의2동
74,광진구,구의3동
75,광진구,광장동
76,광진구,자양1동
77,광진구,자양2동
78,광진구,자양3동
79,광진구,자양4동
80,동대문구,회기동
81,동대문구,휘경1동
82,동대문구,휘경2동
83,동대문구,청량리동
84,동대문구,용신동
85,동대문구,제기동
86,동대문구,전농1동
87,동대문구,전농2동
88,동대문구,답십리1동
89,동대문구,답십리2동
90,동대문구,장안1동
91,동대문구,장안2동
92,동대문구,이문1동
93,동대문구,이문2동
94,중랑구,면목2동
95,중랑구,면목4동
96,중랑구,면목5동
97,중랑구,면목7동
98,중랑구,상봉1동
99,중랑구,상봉2동
100,중랑구,중화1동
101,중랑구,중화2동
102,중랑구,묵1동
103,중랑구,묵2동
104,중랑구,망우3동
105,중랑구,신내1동
106,중랑구,신내2동
107,중랑구,면목본동
108,중랑구,면목3.8동
109,중랑구,망우본동
110,성북구,돈암1동
111,성북구,돈암2동
112,성북구,안암동
113,성북구,보문동
114,성북구,정릉1동
115,성북구,정릉2동
116,성북구,정릉3동
117,성북구,정릉4동
118,성북구,길음1동
119,성북구,길음2동
120,성북구,월곡1동
121,성북구,월곡2동
122,성북구,장위1동
123,성북구,장위2동
124,성북구,장위3동
125,성북구,성북동
126,성북구,삼선동
127,성북구,동선동
128,성북구,종암동
129,성북구,석관동
130,강북구,번1동
131,강북구,번2동
132,강북구,번3동
133,강북구,수유1동
134,강북구,수유2동
135,강북구,수유3동
136,강북구,삼양동
137,강북구,미아동
138,강북구,송중동
139,강북구,송천동
140,강북구,삼각산동
141,강북구,우이동
142,강북구,인수동
143,도봉구,쌍문1동
144,도봉구,쌍문2동
145,도봉구,쌍문3동
146,도봉구,쌍문4동
147,도봉구,방학1동
148,도봉구,방학2동
149,도봉구,방학3동
150,도봉구,창1동
151,도봉구,창2동
152,도봉구,창3동
153,도봉구,창4동
154,도봉구,창5동
155,도봉구,도봉1동
156,도봉구,도봉2동
157,노원구,월계1동
158,노원구,월계2동
159,노원구,월계3동
160,노원구,공릉2동
161,노원구,하계1동
162,노원구,하계2동
163,노원구,중계본동
164,노원구,중계1동
165,노원구,중계4동
166,노원구,상계1동
167,노원구,상계2동
168,노원구,상계5동
169,노원구,상계8동
170,노원구,상계9동
171,노원구,상계10동
172,노원구,상계3.4동
173,노원구,상계6.7동
174,노원구,중계2.3동
175,노원구,공릉1동
176,은평구,녹번동
177,은평구,불광1동
178,은평구,갈현1동
179,은평구,갈현2동
180,은평구,구산동
181,은평구,대조동
182,은평구,응암1동
183,은평구,응암2동
184,은평구,신사1동
185,은평구,신사2동
186,은평구,증산동
187,은평구,수색동
188,은평구,진관동
189,은평구,불광2동
190,은평구,응암3동
191,은평구,역촌동
192,서대문구,천연동
193,서대문구,홍제1동
194,서대문구,홍제3동
195,서대문구,홍제2동
196,서대문구,홍은1동
197,서대문구,홍은2동
198,서대문구,남가좌1동
199,서대문구,남가좌2동
200,서대문구,북가좌1동
201,서대문구,북가좌2동
202,서대문구,충현동
203,서대문구,북아현동
204,서대문구,신촌동
205,서대문구,연희동
206,마포구,용강동
207,마포구,대흥동
208,마포구,염리동
209,마포구,신수동
210,마포구,서교동
211,마포구,합정동
212,마포구,망원1동
213,마포구,망원2동
214,마포구,연남동
215,마포구,성산1동
216,마포구,성산2동
217,마포구,상암동
218,마포구,도화동
219,마포구,서강동
220,마포구,공덕동
221,마포구,아현동
222,양천구,목1동
223,양천구,목2동
224,양천구,목3동
225,양천구,목4동
226,양천구,신월1동
227,양천구,신월2동
228,양천구,신월3동
229,양천구,신월4동
230,양천구,신월5동
231,양천구,신월6동
232,양천구,신월7동
233,양천구,신정1동
234,양천구,신정2동
235,양천구,신정3동
236,양천구,신정6동
237,양천구,신정7동
238,양천구,목5동
239,양천구,신정4동
240,강서구,염창동
241,강서구,등촌1동
242,강서구,등촌2동
243,강서구,등촌3동
244,강서구,화곡본동
245,강서구,화곡2동
246,강서구,화곡3동
247,강서구,화곡4동
248,강서구,화곡6동
249,강서구,화곡8동
250,강서구,가양1동
251,강서구,가양2동
252,강서구,가양3동
253,강서구,발산1동
254,강서구,공항동
255,강서구,방화1동
256,강서구,방화2동
257,강서구,방화3동
