,station,name,ribbonType,menu,priceRange
0,공덕,대물상회,RIBBON_TWO,오늘의메뉴(7만원),4~10만원대
1,공덕,마포옥,RIBBON_TWO,"양지설렁탕(1만5천원, 특 2만원), 차돌탕(2만5천원), 차돌수육(5만8천원), 모둠수육(소 4만3천원, 대 5만3천원)",1~2만원대
2,공덕,성우서서갈비,RIBBON_TWO,한우소갈비(2대 2만원),2~4만원대
3,공덕,여명,RIBBON_TWO,"간짜장, 짬뽕, 볶음밥(각 7천원), 양장피, 오향장육, 유린기(각 소 2만4천원, 대 3만2천원), 탕수육(소 1만7천원, 대 2만2천원), 전가복(소 5만원, 대 7만원), 군만두(7천원)",1만원 미만
4,공덕,역전회관,RIBBON_TWO,"바싹불고기, 매운바싹불고기(각 3만원), 바싹불고기백반, 매운바싹불고기백반(각 1만5천5백원), 선지술국(1만1천원), 역전해장국(1만원), 산낙지구이(4만5천원), 산낙지초회(4만2천원)",2~4만원대
5,공덕,진미식당,RIBBON_TWO,"간장게장정식(4만1천원), 게장포장(3만5천원)",2~4만원대
6,공덕,타쿠미야,RIBBON_TWO,"생식빵(half 5천원, full 9천원), 식빵슬라이스, 식빵크루통(각 3천원), 잼(9천원)",1만원 미만
7,공덕,프릳츠,RIBBON_TWO,"베리에이션커피(4천2백원~5천원), 브루잉커피(5천5백원), 콜드브루(4천7백원), 크루아상(2천7백원), 팽오쇼콜라, 올리브루스틱(각 3천3백원), 무화과강파뉴(4천8백원), 우유식빵(4천3백원)",1만원 미만
8,공덕,핑하오,RIBBON_TWO,"깐풍기, 깐풍새우, 유린기(각 소 2만8천원, 대 4만2천원), 탕수육(2만2천원, 대 3만3천원), 오향장족(소 2만8천원, 대 4만2천원), 짜장면(6천원), XO게살볶음밥(8천5백원), 우육탕면(1만원)",2~4만원대
9,공덕,계고기집,RIBBON_ONE,"소금숯불구이(1만2천원), 양념숯불구이(1만3천원), 숯불무뼈닭발(1만1천원)",1~2만원대
10,공덕,남해바다,RIBBON_ONE,"삼치회(소 4만5천원, 중 5만6천원, 대 6만8천원), 민어회(소 8만원, 중 11만5천원, 대 15만원), 병어회(소 4만5천원, 중 5만8천원, 대 6만8천원), 도다리쑥국(1만5천원)",2~4만원대
11,공덕,라스텔라,RIBBON_ONE,"조식(어른 2만8천원, 어린이 1만5천원), 점심(어른 4만원, 어린이 2만2천원), 저녁(어른 6만2천원, 어린이 3만7천원), 주말, 공휴일(어른 7만2천원, 어린이 3만9천원)",4~10만원대
12,공덕,락희옥,RIBBON_ONE,"보쌈(300g 3만8천원), 차돌박이구이(200g 3만8천원), 육전(3만5천원), 김치말이국수(1만원), 된장찌개(9천원), 멍게비빔밥(1만3천원), 성게알밥(2만5천원), 민어회(6만원)",2~4만원대
13,공덕,무삼면옥,RIBBON_ONE,"메밀냉면(소 8천원, 중 1만1천원, 대 1만5천원), 강황완자만두(5천원), 제육(150g 1만원, 300g 2만원)",1만원 미만
14,공덕,서경도락,RIBBON_ONE,"한우직화불고기(180g 2만6천원), 한돈수제갈비(250g 1만8천원), 평양냉면(1만1천원)",2~4만원대
15,공덕,양지설렁탕,RIBBON_ONE,"양지설렁탕, 내장탕(각 1만원, 특 1만3천원), 꼬리탕, 도가니탕(각 1만6천원), 족탕(1만8천원), 수육(소 2만8천원, 대 3만8천원), 꼬리찜, 도가니수육(각 5만원)",1~2만원대
16,공덕,을밀대,RIBBON_ONE,"물냉면, 비빔냉면(각 1만2천원), 회냉면(1만6천원), 수육(소 3만원, 대 6만원), 녹두전(9천원), 홍어(5만원)",1~2만원대
17,공덕,이요이요스시,RIBBON_ONE,"점심스시오마카세(4만원), 저녁스시오마카세(6만원)",4~10만원대
