,address,id,menu,name,review_count,score,star,tel,zzim
0,서울시 구로구 구로동 138-13,8o1ZOseu4OkE,"['소고기무한리필1 - 20,000원', '소고기무한리필2 - 21,000원', '생돼지 무한리필 - 15,000원', '소고기국밥 - 5,000원', '나주곰탕 - 5,000원', '냉면(물/비빔) - 5,000원', '육회비빔밥 - 6,000원', '부채스테이크 - 8,000원']",채영진의 명품 생고기무한리필 구로점,1,27점,5.0,02-863-5885,1
1,서울 관악구 신림동 518-36,TA3LbNm9x4fW,"['마라탕 - ', '마라샹궈  - ']",화기린 마라탕,None,24점,None,02-839-8988,0
2,서울특별시 중구 을지로2가 203 지하1층,gF7fJxIPsDOm,"['우삼겹소고기쌀국수 - 8,900원', '파인애플새우볶음밥 - 8,900원', '매운소고기쌀국수 - 8,900원', '매운해물쌀국수 - 9,500원', '분짜 - 12,000원']",우연히 하노이,1,25점,4.0,070-5138-0509,2
3,서울특별시 중랑구 중화동 207-10,bOMYqninHTkH,"['한우', ' 고기집']",고려관,None,13점,None,02-432-9442,1
4,서울특별시 강남구 신사동 567-23,gyUhzrBgyeeP,"['아보카도 연어샐러드 - 18,000원', '랍스타 로제 파스타 - 29,000원', '스테이크 트러플 크림파스타 - 26,000원', '채끝 등심 스테이크 - 38,000원', '아보카도와 스테이크 피자 - 26,000원']",파티오 42 압구정본점,None,39점,None,02-518-2242,44
5,서울특별시 종로구 관훈동 155-2 나인트리호텔 5층,jxJMQWRSKuHh,"['조식 - 28,000원', '점심 세미뷔페 - 37,000원', '저녁 세미뷔페 - 48,000원']",탑클라우드 오파이브,None,20점,None,0507-1382-0512,0
6,서울시 성동구 성수동2가 301-98,MgrpsKVYHNpv,"['발사믹 꿔바로우 - 18,000원', '유로피안 동파육 - 25,000원', '볼로냐 두부 - 18,000원', '해산물 바질 짬뽕 - 17,000원', '차돌 마라크림 짬뽕  - 19,000원', '마라크림 새우 리조또 - 26,000원', '마파 양갈비 - 37,000원', '질소 티라미수 - 9,500원', '에이드 - 5,000원', '맥주 - 7,000원', '하이볼 - 8,000원', '하우스 와인 - 8,000원', '콜키지 - 최대 4인 / 1병까지만 가능합니다. - 30,000원', '바질새우춘권 - 12,000원', '어향가지와 부라타치즈 튀김 - 16,000원', '가스파쵸, 냉파스타 - 17,500원', '바삭한 쯔란새우 - 19,000원', '크림리조또 공기밥 - 3,500원', '봉골레울면 - 18,000원']",중앙감속기,None,19점,None,02-466-9628,0
7,서울특별시 관악구 서림동 96-25,hry0djFWqnUk,"['황궁쟁반자장 - ', '황궁 볶음짬뽕 - ', '황궁삼선짬뽕 - ', '황궁 볶음밥 - ', '황궁 탕수육 - ']",황궁쟁반자장  청호 신림점,None,18점,None,02-874-4622,0
8,서울특별시 금천구 시흥1동 889-8,YOZ6wopojXA8,['뷔페'],언제나파티,None,12점,None,02-895-6622,0
9,서울시 종로구 안국동 159 1층,BA73fQd8nXzJ,"['토리빠이탄 - 9,000원', '카라빠이탄 - 9,000원', '쇼유라멘 - 9,000원', '시오라멘 - 9,000원']",오레노라멘 인사점,9,54점,4.8,02-722-3539,18
10,서울특별시 도봉구 방학동 717-6,IXmq83jOaTZA,"['한우유니짜장 - 5,000원', '짜장 - 3,500원', '홍짬뽕 - 6,000원', '짬뽕 - 4,500원', '홍짜장 - 6,000원', '해물쟁반짜장2인 - 10,000원', '사천볶음밥 - 7,000원', '해산물볶음밥 - 7,000원', '볶음밥 - 5,000원', '찹쌀탕수육 - 15,000원', '군만두 - 4,000원', '어린이세트 - 5,000원']",홍짜장,None,12점,None,02-587-7785,3
11,서울특별시 용산구 한남동 683-137 1층,Y4GjxR4Jyfzz,[],올찬 생갈비 김치찌개,2,37점,4.6,02-798-3330,22
12,서울특별시 강북구 수유동 563-4,n6OwxIGJdkmL,"['스콘', ' 카페']",키에리,4,33점,3.7,02-6408-3441,19
13,서울특별시 은평구 갈현동 452-31,QwCBKpzagffG,"['아메리카노 - 5,000원', '아이스티 - 5,000원', '프레즐 - 4,500원', '허니브레드 - 5,500원']",커피볶는고양이,None,26점,None,02-355-7642,3
14,서울특별시 동대문구 전농동 591-53,mzwCpJGcPoOV,"['모짜렐라스팸계란마리 - 8,500원', '장조림버터비빔밥 - 9,000원', '쟁반국떡 - 8,500원', '길거리표떡볶이 - 6,500원', '듬뿍야채쫄쫄면 - 8,000원']",스쿨푸드,4,33점,4.1,02-3707-1377,14
15,서울특별시 도봉구 창동 10-1,6OYgHNZnDo57,"['차돌박이 - 25,000원', '생갈매기살 - 14,000원', '생삼겹살 - 13,000원']",북청식당,3,37점,4.0,02-900-0794,12
16,대구광역시 중구 동성로2가 68-8,lbZRHl34PVNT,"['핸드드립커피(융드립) - 5000~7500', '베리에이션커피 - 5300~5800', 'wow치즈크레이프 - 7,000원', '다쿠아즈케이크 - 6000~6700', '팥빙수 - 11,000원', '체리빙수 - 13,000원']",티클래스,9,55점,4.3,053-252-3555,13
17,서울특별시 구로구 구로동 1129-1,PuZowQYCtJDu,"['모듬초밥 - 12,000원', '점심특선(초밥+매밀(우동)+튀김 - 10,000원', '혼마구로 뱃살 초밥(11p) - 35,000원', '사시미 2 인 - 48,000원', '알탕 - 8,000원']",니와스시,None,19점,None,02-854-8252,1
18,서울특별시 동작구 상도동 505-7,RXTlLf1p4hvr,"['탕수육+짜장2 - 14,000원', '탕수육+짜장+짬뽕 - 14,500원', '탕수육+짬뽕2 - 15,000원', '탕수육+쟁반짜장2 - 16,000원', '탕수육+볶음밥2 - 15,000원', '깐풍기+쟁반짜장2 - 20,000원', '칠리새우+쟁반짜장2 - 20,000원', '양장피+쟁반짜장2 - 23,000원', '고추잡채+쟁반짜장2 - 23,000원', '팔보채+쟁반짜장2 - 25,000원']",연래춘,None,17점,None,02-816-2007,1
19,서울시 서대문구 창천동 5-35,JdMx1gA7N7XL,"['매운 홍합 - 23,000원', '짜장면 - 5,000원', '짬뽕 - 6,000원']",완차이,7,45점,4.5,02-392-0302,37
20,서울 강북구 수유동 54-24 수유시장 안,tJPG57K8MPID,"['아구찜(중) - 20,000원', '아구찜(대) - 30,000원', '해물찜 중 - 30,000원', '해물찜 대 - 40,000원', '아구탕 - 15,000원']",아구랑탕이랑,1,23점,4.0,02-984-6469,2
21,서울특별시 노원구 상계동 591-2,lkdqyLoCD3l1,"['조개구이+사이드바 무한리필(성인) - 25,500원', '조개찜+사이드바 무한리필(성인) - 25,500원', '초등학생 - 17,500원', '미취학 - 12,500원', '테이크아웃 조개찜 1인용 - 14,500원', '테이크아웃 조개찜 2인용 - 29,000원', '테이크아웃 조개찜 3인용 - 43,500원']",노원조개구이무한리필,5,31점,3.1,010-3942-3533,43
22,서울특별시 관악구 청룡동 894-2,od54dxUnGQJZ,['술집'],작은,None,22점,None,02-875-4087,4
23,서울특별시 서초구 반포동 72-3,5cvwp9voD3bk,"['그루시그니쳐버거(140g) - 11,000원', '그루시그니쳐버거(200g) - 12,500원', '양송이버섯크림버거(140g) - 12,500원', '양송이버섯크림버거(200g) - 13,500원', '그루클래식치즈버거 - 10,500원', '갈릭러버스버거 - 11,500원', '치킨버거 - 12,000원', '치즈버거 - 8500~10000', '오비치즈버거 - 11500~13000', 'BBQ 치즈버거 - 12000~13500', '칠리 치즈버거 - 11500~13000', 'BBQ폴드 포크 버거 - 12,000원', '연어 스테이크버거 - 15,000원']",버거그루72,3,59점,4.4,02-537-1089,93
24,서울특별시 송파구 송파동 59-13,akfO6qxzGNzP,"['가진항 물회 (2인이상 주문가능) - 15,000원', '모듬회 中 - 120,000원', '모듬회 大 - 150,000원', '멍게비빔밥/회덮밥 - 15,000원', '삼숙이 매운탕 (2~3인분) - 50,000원', '생대구탕 (2~3인분) - 40,000원', '성게비빔밥 - 20,000원']",부부횟집,3,37점,4.5,02-415-8881,20
25,서울특별시 동작구 노량진동 13-8,Ifj9iGHfrrr4,"['모둠회 2인 - 40000~80000', '모둠회 3인 - 60000~110000', '모둠회 4인 - 70000~130000']",형제상회,7,62점,3.9,02-816-8227,210
26,서울시 강남구 도곡동 423-7,vkaKKkzAF9Qg,"['티본스테이크2인(700g) - 126,000원', '파스타런치 - 25,000원', '1++한우채끝스테이크200G - 99,000원', 'Aglio e Olio spaghetti - 25,000원', 'Crab meat prawn spaghetti  - 29,500원', 'Meatballs - 33,000원']",언노운다이너,3,41점,3.8,02-573-6672,38
27,서울시 서초구 잠원동 15-1,TfnGNTiLEDhd,"['모둠회 - 35,000원', '세꼬시 1인 - 35,000원']",진동횟집,1,34점,4.0,02-549-2179,16
28,서울특별시 서대문구 창천동 30-33(현대백화점 신촌점),cHDCeKXBPw0l,"['인도요리', ' 커리']",인디아게이트,None,15점,None,02-3145-2942,26
29,서울특별시 영등포구 문래동2가 14-29,cqZqQXDBL0kA,['맥주 - '],비어포스트 바,5,41점,4.3,02-2068-6277,3
30,서울특별시 노원구 상계동 326-2,x9RYj1YqGzMH,['감자탕전골 - '],풍성진감자탕,None,25점,None,02-937-3732,0
31,서울시 강남구 청담동 88-9,Au85DT8fYVUZ,"['맥 앤 치즈 - 7,200원', '티본스테이크 팬케이크 - 36,800원', '슈퍼 헬시 푸드 샐러드 - 22,400원']",버터핑거 팬케익스 청담동점,12,61점,3.5,02-3448-1070,97
32,서울특별시 관악구 신원동 1602-1,RJBYrPJX5Qpk,"['일반모듬초밥(10P) - 5,000원', '특모듬초밥(15P) - 10,000원', '가족모듬초밥(20P) - 13,000원', '가족모듬초밥(32P) - 19,000원', '광어초밥(10P) - 10,000원', '연어초밥(10P) - 10,000원', '장어초밥(10P) - 15,000원', '새우초밥(10P) - 5,000원', '새우모듬초밥(10P) - 10,000원', '구운새우초밥(10P) - 10,000원', '장새우초밥(10P) - 10,000원', '연어롤 - 7,000원', '캘리포니아롤 - 5,000원', '회덮밥 - 7,000원', '우동 - 4,000원']",초밥아저씨,2,39점,5.0,02-3281-2820,19
33,서울특별시 동작구 상도동 507-3,I5fauK5zG7xk,"['포 - 8,500원', '팟타이 - 8,500원', '나시고렝 - 8,500원', '미고렝 - 8,500원', '반미 바게트 - 8,000원', '칠리윙 4pcs - 4,500원', '스프링롤 - 4,000원', '플라워번 - 4,000원', '쉬림프밤 - 28,000원']",고렝,None,12점,None,070-8621-0906,0
34,서울특별시 용산구 이태원동 225-24,637vQBswGmjq,['모듬회 - '],봉쥬르스고이,None,22점,None,070-8868-1119,1
35,서울시 성동구 행당동 168-1 4F (왕십리 민자역사 내 4층),PwOQZTjRKZgm,"['스테이크 - 21,900원', '스테이크 파스타(토마토/크림) - 22,900원', '카프레제 샐러드 - 12,900원', '리코타 치즈 샐러드 - 12,900원', '빠네 - 14,900원', '크레마 디 감베리 - 14,900원', '마레 - 12,900원', '그랑끼오 - 12,900원', '알리오 올리오 - 11,900원', '고르곤졸라 피자 - 16,900원', '마르게리따 피자 - 16,900원', '스테이크 샐러드 피자 - 17,900원']",포르시따,None,26점,None,02-2200-1357,46
