,name,menu,address,zzim,rating
0,육회자매집,"육회덮밥, 육회, 육전",서울특별시 종로구 종로4가 177,728,88점
1,토속촌,"삼계탕, 오골계, 닭도리탕",서울특별시 종로구 체부동 85-1,648,85점
2,광화문,"메밀국수, 냉메밀, 국수",서울 종로구 청진동 24,889,83점
3,청진옥,"선지해장국, 해장국",서울특별시 종로구 청진동 183-1,592,82점
4,순희네,"빈대떡, 녹두빈대떡, 막걸리",서울특별시 종로구 종로5가 138-9 광장시장내,384,80점
5,깡통만두,"만두전골, 만두, 비빔국수",서울특별시 종로구 재동 84-22,642,79점
6,영춘옥,"꼬리곰탕, 곰탕",서울특별시 종로구 돈의동 131,345,79점
7,계림,"마늘닭, 닭도리탕, 닭볶음탕",서울특별시 종로구 종로3가 167,893,79점
8,유진식당,"평양냉면, 녹두지짐, 냉면",서울특별시 종로구 낙원동 221,380,78점
9,삼청동수제비,"수제비, 옹심이, 막걸리",서울특별시 종로구 삼청동 102,406,77점
10,순대실록,"순대스테이크, 순대, 뼈해장국",서울특별시 종로구 동숭동 1-41,544,76점
11,황소고집,"고추장불고기, 불고기백반, 백반",서울특별시 종로구 관철동 11-11,726,76점
12,삼해집,"굴보쌈, 감자탕",서울특별시 종로구 관수동 42,312,74점
13,혜화,"생선튀김, 칼국수, 사골칼국수",서울특별시 종로구 혜화동 84-3,398,74점
14,체부동잔치집,"들깨칼국수, 잔치국수",서울특별시 종로구 체부동 190,334,73점
15,찬양집,"해물칼국수, 칼국수",서울특별시 종로구 돈의동 27,537,73점
16,계열사,"후라이드치킨, 치킨, 닭도리탕",서울특별시 종로구 부암동 258-3,282,73점
17,안주마을,"실내포장마차, 술집, 고등어구이",서울특별시 종로구 내자동 1-2,174,72점
18,부촌육회,"육회, 소고기무국, 육회비빔밥",서울특별시 종로구 종로4가 165-11,113,70점
19,싱싱해물나라,"고등어회, 활고등어회, 알탕",서울시 종로구 관철동 11-2 2층,247,69점
20,잘빠진메밀,"메밀, 메밀막국수, 막걸리",서울특별시 종로구 통인동 118-3 지하1층,313,69점
21,이문설농탕,"설농탕, 설렁탕, 곰탕",서울특별시 종로구 견지동 88,464,69점
22,황생가칼국수,"사골칼국수, 칼국수",서울특별시 종로구 소격동 84,178,69점
23,광화문집,"김치찌개, 돼지김치찌개",서울특별시 종로구 당주동 43,478,69점
24,일미식당,"청국장, 청국장찌개",서울특별시 종로구 낙원동 284-6 낙원상가 B1 148호,319,67점
25,창화당,"만두, 새우만두, 김치말이국수",서울특별시 종로구 익선동 174 1층,174,67점
26,대성집,"도가니탕, 도가니수육, 한식",서울특별시 종로구 행촌동 209-35,177,68점
27,식탁의목적,"집밥, 한식",서울특별시 종로구 명륜2가 181 2층,289,67점
28,박가네,"빈대떡, 육회, 막걸리",서울시 종로구 예지동 293-1 광장시장,102,67점
29,호반,"병어, 한식, 꽁치조림",서울특별시 종로구 낙원동 85-7,170,66점
30,진옥화할매,"닭한마리, 닭칼국수, 닭도리탕",서울특별시 종로구 종로5가 265-22,163,66점
31,송정식당,"생선구이, 순두부찌개",서울특별시 종로구 종로5가 443,181,66점
32,나누미,"떡볶이, 부산어묵, 김밥",서울특별시 종로구 명륜2가 225,168,66점
33,평안도만두집,"만두전골, 만두, 김치말이국수",서울특별시 종로구 내수동 167 대우복합빌딩 지하1층,280,66점
34,큰기와집,"간장게장, 게장",서울시 종로구 소격동 122-3,273,65점
35,도토리브라더스,"일본가정식, 스테이크정식, 한식",서울특별시 종로구 신문로2가 1-248,45,65점
36,도마,"된장찌개, 한식",서울특별시 종로구 관훈동 15-1,92,64점
37,원조원할매닭한마리,"닭한마리, 칼국수, 닭칼국수",서울시 종로구 종로5가 282-21,130,64점
38,백제정육점,"육회, 육회비빔밥, 고기집",서울시 종로구 효제동 155,156,64점
39,서린낙지,"낙지볶음, 낙지, 파전",서울시 종로구 종로1가 24 르메이에르 종로타운 2층,265,64점
40,메밀향그집,"메밀, 메밀전, 닭볶음탕",서울특별시 종로구 명륜4가 72-3,254,63점
41,사발,"퓨전한식, 한식",서울시 종로구 내수동 72,131,63점
42,북막골,"왕갈비찜, 갈비, 보쌈",서울특별시 종로구 삼청동 30-2,239,63점
43,할매집,"감자탕, 족발",서울특별시 종로구 내자동 108,173,63점
44,북촌손만두,"손만두, 새우만두, 냉면",서울특별시 종로구 관훈동 42-2,275,63점
45,창신육회,"육회덮밥, 육회, 비빔밥",서울특별시 종로구 종로4가 165-4,110,63점
46,통나무식당,"아구찜, 해물, 해물아구찜",서울특별시 종로구 낙원동 45-3,160,63점
47,명륜건강원,"집밥, 백반, 제육볶음",서울특별시 종로구 명륜2가 237 아남아파트,115,62점
48,남도분식,"상추튀김, 떡볶이, 김밥",서울특별시 종로구 소격동 36,78,62점
49,한일식당,"생선구이, 삼치구이, 고등어구이",서울시 종로구 관수동 43-2,115,62점
50,옛날민속집,"두부, 콩비지, 간장게장",서울특별시 종로구 구기동 64-5,127,61점
51,잘빠진메밀,"만두전골, 메밀, 막걸리",서울특별시 종로구 묘동 3-1,51,61점
52,뚝배기집,"뚝배기, 우렁된장찌개, 김치찌개",서울시 종로구 관철동 5-1,129,61점
53,백부장집닭한마리,"닭한마리, 닭, 닭도리탕",서울특별시 종로구 공평동 129,85,61점
54,국수찾아닭만리,"국수, 짜글이, 멸치국수",서울특별시 종로구 낙원동 110,56,61점
55,교대이층집,"통삼겹, 고기집, 김치찌개",서울특별시 종로구 견지동 110,135,61점
56,화목순대국전문,"순대국, 내장탕, 순대국밥",서울특별시 종로구 당주동 160,58,60점
57,광화문뚝감,"감자탕, 뚝배기, 김치찌개",서울시 종로구 당주동 128-14,76,60점
58,툇마루집,"된장비빔밥, 강된장, 북어국",서울시 종로구 인사동 4-1 중원빌딩 지하1층-2층,83,60점
59,익선동121,"된장비빔밥, 카레, 모던한식",서울특별시 종로구 익선동 121,174,60점
60,명동닭한마리,"닭한마리, 닭칼국수, 닭볶음탕",서울특별시 종로구 종로5가 265-8,58,59점
61,원조누드김밥,"누드김밥, 잡채, 김밥",서울특별시 종로구 예지동 2-1 광장시장 내 41호,125,59점
62,대련집,"사골칼국수, 칼국수",서울특별시 종로구 관수동 163,37,59점
63,더미,"한우전문, 한우, 된장찌개",서울특별시 종로구 종로1가 24,53,59점
64,돈까스백반,"무한리필돈까스, 돈까스, 백반",서울시 종로구 신문로 2가 1-152,73,59점
65,수정식당,"제육쌈밥, 쌈밥",서울특별시 종로구 관철동 23,79,58점
66,민들레처럼,"동동주, 술집, 막걸리",서울특별시 종로구 동숭동 25-7,122,58점
67,은성회집,"대구매운탕, 대구탕, 알탕",서울시 종로구 예지동 3-2,96,57점
68,옥천매운족발,"매운족발, 족발",서울특별시 종로구 창신1동 142-27,166,56점
69,이강순실비집,"실비집, 낙지볶음, 감자탕",서울특별시 종로구 관철동 11-11,92,56점
70,눈나무집,"김치말이국수, 떡갈비, 국수",서울시 종로구 삼청동 20-8,199,56점
71,창신동매운족발,"매운족발, 족발",서울특별시 종로구 창신동 581-5,90,56점
72,남도식당,"연탄삼겹살, 고추장삼겹살",서울특별시 종로구 청진동 204-1,400,56점
73,명륜,"손칼국수, 칼국수",서울시 종로구 명륜1가 31-23,58,56점
74,산정집,"고기말이, 소고기말이, 내장전골",서울특별시 종로구 당주동 3-2 선덕빌딩 2층,53,55점
75,북악정,"소갈비, 갈비, 고기집",서울특별시 종로구 평창동 114-12,56,55점
76,부영,"도가니탕, 곰탕, 설렁탕",서울시 종로구 삼청동 25,40,55점
77,육미,"선술집, 세꼬시, 닭도리탕",서울시 종로구 인사동 255,61,55점
78,주유별장,"한식주점, 술집, 막걸리",서울특별시 종로구 청진동 246,67,55점
79,낙산냉면,"매운냉면, 냉면",서울특별시 종로구 창신동 81-8,135,55점
80,소소한,"퓨전한정식, 한정식",서울특별시 종로구 부암동 239-13,82,55점
81,모티집,"막국수, 돼지수육, 보쌈",서울시 종로구 동숭동 199-21,54,55점
82,용호동낙지,"낙곱새, 낙새, 낙지두루치기",서울특별시 종로구 청진동 70,19,55점
83,중경삼림,"흑돼지, 돼지고기, 고기집",서울특별시 종로구 계동 79-6,40,55점
84,오죽이네,"닭매운탕, 닭볶음탕, 닭도리탕",서울특별시 종로구 익선동 160-3,55,55점
85,강촌쌈밥,"쌈밥, 쌈밥정식",서울특별시 종로구 평창동 460-1,46,54점
86,택대리네,"마늘보쌈, 밤막걸리",서울특별시 종로구 관훈동 29-4,46,54점
87,서울식품,"가맥, 막걸리",서울특별시 종로구 관수동 102-1,26,54점
88,프롬더맘,"집밥, 한식, 한정식",서울특별시 종로구 소격동 102-2,29,54점
89,익선반주,"퓨전한식, 한식",서울특별시 종로구 익선동 166-21,44,54점
90,부부식당,"집밥, 밥집, 한식",서울특별시 종로구 동숭동 1-152,44,54점
91,신촌황소곱창,"소곱창, 곱창, 한식",서울시 종로구 관철동 12-23,94,53점
92,종로설렁탕,"꼬리수육, 설렁탕, 곰탕",서울시 종로구 종로3가 107-1,35,53점
93,바오쯔,"수제만두, 만두, 칼국수",서울특별시 종로구 혜화동 84-1,31,53점
94,강남면옥,"갈비찜, 회냉면",서울특별시 종로구 신문로2가 12-5,23,53점
95,평가옥,"어복쟁반, 평양냉면, 냉면",서울시 종로구 내수동 1,84,53점
96,김진목삼,"목살, 삼겹살, 고기집",서울특별시 종로구 필운동 154,28,53점
97,달의뒷편,"전통주점, 술집, 막걸리",서울시 종로구 인사동 223,80,53점
98,골동면,"납작만두, 국수, 김치말이국수",서울시 종로구 동숭동 1-45,111,53점
99,마당너른집,"들깨삼계탕, 삼계탕",서울시 종로구 동숭동 130-45,47,53점
100,포담,"딤섬, 샤오롱빠오, 중식당",서울특별시 종로구 통인동 137-7,339,69점
101,동북화과왕,"양꼬치, 마파두부, 중국요리",서울시 종로구 창신동 463-1 2층,82,62점
102,소친친,"퓨전중식, 중식당",서울특별시 종로구 명륜4가 62,41,61점
103,영화루,"고추간짜장, 중국집, 중식",서울특별시 종로구 누하동 25-1,84,60점
104,몽중헌,"딤섬, 중식당, 고급중식당",서울시 종로구 화동 117,68,57점
105,우육면관,"우육면, 중식당",서울특별시 종로구 관철동 11-11,35,57점
106,유유안,"북경오리, 중식당, 중식",서울특별시 종로구 당주동 29 포시즌호텔 11층,59,56점
107,샤오바오,"우육면, 꿔바로우, 중식",서울특별시 종로구 관철동 12-24,19,55점
108,마라샹궈,"마라샹궈, 훠궈, 중식당",서울시 종로구 통인동 147-15,123,54점
109,탕화쿵푸,"마라탕, 중국음식, 중식당",서울특별시 종로구 신문로1가 163,17,53점
110,차알,"미국식, 차이니즈레스토랑, 중식",서울특별시 종로구 청진동 246 D타워 리플레이스 광화문 3층,129,52점
111,안래홍,"유니짜장, 중국집, 중식",서울시 종로구 공평동 132,30,52점
112,홍콩반점0410,"탕수육, 짬뽕, 중국요리",서울특별시 종로구 동숭동 1-105 지하1층,44,51점
113,취천루,"만두, 교자, 중국요리",서울특별시 종로구 체부동 26,28,51점
114,라매자,"마라탕, 중식당",서울 종로구 명륜2가 216-2 2층,1,51점
115,천향록,"마라탕, 마라샹궈, 중식당",서울특별시 종로구 명륜2가 211,14,48점
116,하이디라오,"훠궈, 마라탕, 중식당",서울특별시 종로구 혜화동 90-18,3,46점
117,뉴문,"중식당, 짬뽕, 중국요리",서울시 종로구 내수동 110-39,14,45점
118,홍릉각,"간짜장, 짬뽕, 중국요리",서울특별시 종로구 종로5가 52-1,26,43점
119,중국,"중국집, 짜장면, 중국요리",서울시 종로구 청운동 59-4,17,41점
120,소고산제일루,"훠궈, 꿔바로우, 중식당",서울특별시 종로구 청진동 128,20,40점
121,탕화쿵부,"마라탕, 마라샹궈, 중식당",서울 종로구 창신동 497-1,4,39점
122,홍롱롱,"딤섬, 교자, 중식",서울특별시 종로구 익선동 166-33,9,38점
123,라공방,"마라탕, 마라샹궈, 중식당",서울특별시 종로구 관철동 45-1 1층,0,37점
124,금문,"중국집, 간짜장, 중식당",서울특별시 종로구 혜화동 122-5,11,34점
125,금용문,"중식당, 짬뽕, 고급중식당",서울특별시 종로구 내수동 1,5,33점
126,홍성원,"중국집, 고추잡채, 중국요리",서울특별시 종로구 견지동 110 대성스카이렉스 2층,15,32점
127,저팔계식당,"꿔바로우, 덮밥, 중국요리",서울특별시 종로구 명륜3가 1-215,9,31점
128,홍콩반점0410,"짬뽕, 볶음짬뽕, 중식",서울특별시 종로구 관수동 4-4,2,30점
129,크리스탈드래곤,"딤섬, 탄탄면, 중식",서울특별시 종로구 공평동 6 종로타워,13,30점
130,리춘시장,"꿔바로우, 중화요리, 중국요리",서울특별시 종로구 혜화동 167-3,1,30점
131,오세계향,"채식, 비건, 중식",서울시 종로구 관훈동 59,33,29점
132,마라공방,"마라탕, 마라샹궈, 중식당",서울특별시 종로구 견지동 109,0,29점
133,만차이,"중식당, 짜장면, 중식",서울특별시 종로구 종로4가 8,3,28점
134,황산샤브샤브,"훠궈, 중국식샤브샤브, 중식당",서울특별시 종로구 수송동 58,14,27점
135,동천홍,"낙지짬뽕, 중국집, 중식",서울시 종로구 당주동 21-1 2F (놀부부대찌개 건물 2층),11,27점
136,가부,"중국집, 짜장면, 중식",서울특별시 종로구 혜화동 16-8,2,26점
137,덕성각,"옛날짜장, 중화요리, 중식",서울 종로구 종로5가 274,2,25점
138,형제무한리필샤브뷔페,"훠궈, 샤브샤브, 중식당",서울특별시 종로구 창신동 651-11,2,25점
