name,tel,addr,rating,review_count,lat,lng,thumbnail
건강한빵,02-6494-0049,서울시 종로구 명륜3가 148-1,4.6,61,37.58355038,126.99793947,https://mp-seoul-image-production-s3.mangoplate.com/1186428_1575116301409035.jpg
렁트멍,02-825-0404,서울시 동작구 상도동 416 아이파크상가 102호,4.5,66,37.50065627,126.94217605,https://mp-seoul-image-production-s3.mangoplate.com/47875_1554464426542059.jpg
소울브레드,070-4235-4748,서울시 서초구 우면동 59 동양상가,4.4,93,37.47135257,127.02432283,https://mp-seoul-image-production-s3.mangoplate.com/260176/1012307_1567657823139_296912
루엘드파리,02-322-0939,서울시 서초구 서초동 1445-13 서초쌍용플래티넘 112호,4.3,146,37.48379911,127.01735514,https://mp-seoul-image-production-s3.mangoplate.com/756746_1506177023649827.jpg
브레드덕,070-8827-0008,서울시 동작구 상도동 529,4.3,61,37.5045102,126.94305847,https://mp-seoul-image-production-s3.mangoplate.com/501936_1552214727831271.jpg
쟝블랑제리,02-889-5170,서울시 관악구 봉천동 1660-7,4.1,298,37.4771475,126.9619625,https://mp-seoul-image-production-s3.mangoplate.com/584169_1598452905363388.jpg
피터팬 1978,02-336-4775,서울시 서대문구 연희동 90-5,4.1,96,37.56940667,126.93173921,https://mp-seoul-image-production-s3.mangoplate.com/963475_1544880320514624.jpg
브레드05,02-783-0043,서울시 영등포구 신길동 970,4.1,23,37.50662955,126.92167173,https://mp-seoul-image-production-s3.mangoplate.com/1181469_1601355786892621.jpg
갈십리,010-9034-3939,서울시 성동구 행당동 19-108,4.1,20,37.5589278,127.0404619,https://mp-seoul-image-production-s3.mangoplate.com/382990/259007_1581932554266_4066
카멜커피,,서울시 강남구 청담동 113-13,4.1,29,37.527074,127.0484347,https://mp-seoul-image-production-s3.mangoplate.com/528686_1594303995914664.jpg
슬로우브레드파파,02-923-5218,서울시 성북구 동선동2가 142-2,4.1,9,37.590676,127.020244,https://mp-seoul-image-production-s3.mangoplate.com/280251/90579_1560331012606_49633977_1010445375832644_2858519021744001958_n.jpg
그랭블레,02-6489-1509,서울시 마포구 서교동 474-1,4.0,25,37.5562157,126.9124716,https://mp-seoul-image-production-s3.mangoplate.com/1195041_1553500073427719.jpg
아티장베이커스,02-3477-3423,서울시 서초구 반포동 90-11,4.0,28,37.4973339,126.998498,https://mp-seoul-image-production-s3.mangoplate.com/436911_1531892500902951.jpg
HIVER,02-6015-7988,서울시 종로구 누상동 166-127,4.0,22,37.5818963,126.96421,https://mp-seoul-image-production-s3.mangoplate.com/2925_1575805182763000.jpg
토모루,032-584-0040,인천시 서구 청라동 160-1,4.0,14,37.53443892,126.65250085,https://mp-seoul-image-production-s3.mangoplate.com/463989_1597731812719835.jpg
