,station,id,phone,place_name
0,공덕,1301973155,010-3934-2301,할아버지공장
1,공덕,145791269,,어니언
2,공덕,1301973155,010-3934-2301,할아버지공장
3,공덕,145791269,,어니언
4,김포공항,1301973155,010-3934-2301,할아버지공장
5,김포공항,145791269,,어니언
6,김포공항,1301973155,010-3934-2301,할아버지공장
7,김포공항,145791269,,어니언
8,서울역,1301973155,010-3934-2301,할아버지공장
9,서울역,145791269,,어니언
10,서울역,1301973155,010-3934-2301,할아버지공장
11,서울역,145791269,,어니언
12,왕십리,1301973155,010-3934-2301,할아버지공장
13,왕십리,145791269,,어니언
14,왕십리,1301973155,010-3934-2301,할아버지공장
15,왕십리,145791269,,어니언
16,청량리,1301973155,010-3934-2301,할아버지공장
17,청량리,145791269,,어니언
18,청량리,1301973155,010-3934-2301,할아버지공장
19,청량리,145791269,,어니언
20,고속터미널,1301973155,010-3934-2301,할아버지공장
21,고속터미널,145791269,,어니언
22,고속터미널,1301973155,010-3934-2301,할아버지공장
23,고속터미널,145791269,,어니언
24,동대문역사문화공원,1301973155,010-3934-2301,할아버지공장
25,동대문역사문화공원,145791269,,어니언
26,동대문역사문화공원,1301973155,010-3934-2301,할아버지공장
27,동대문역사문화공원,145791269,,어니언
28,디지털미디어시티,1301973155,010-3934-2301,할아버지공장
29,디지털미디어시티,145791269,,어니언
30,디지털미디어시티,1301973155,010-3934-2301,할아버지공장
31,디지털미디어시티,145791269,,어니언
32,상봉,1301973155,010-3934-2301,할아버지공장
33,상봉,145791269,,어니언
34,상봉,1301973155,010-3934-2301,할아버지공장
35,상봉,145791269,,어니언
36,신설동,1301973155,010-3934-2301,할아버지공장
37,신설동,145791269,,어니언
38,신설동,1301973155,010-3934-2301,할아버지공장
39,신설동,145791269,,어니언
40,종로3가,1301973155,010-3934-2301,할아버지공장
41,종로3가,145791269,,어니언
42,종로3가,1301973155,010-3934-2301,할아버지공장
43,종로3가,145791269,,어니언
44,홍대입구,1301973155,010-3934-2301,할아버지공장
45,홍대입구,145791269,,어니언
46,홍대입구,1301973155,010-3934-2301,할아버지공장
47,홍대입구,145791269,,어니언
48,회기,1301973155,010-3934-2301,할아버지공장
49,회기,145791269,,어니언
50,회기,1301973155,010-3934-2301,할아버지공장
51,회기,145791269,,어니언
52,가락시장,1301973155,010-3934-2301,할아버지공장
53,가락시장,145791269,,어니언
54,가락시장,1301973155,010-3934-2301,할아버지공장
55,가락시장,145791269,,어니언
56,가산디지털단지,1301973155,010-3934-2301,할아버지공장
57,가산디지털단지,145791269,,어니언
58,가산디지털단지,1301973155,010-3934-2301,할아버지공장
59,가산디지털단지,145791269,,어니언
60,강남,1301973155,010-3934-2301,할아버지공장
61,강남,145791269,,어니언
62,강남,1301973155,010-3934-2301,할아버지공장
63,강남,145791269,,어니언
64,강남구청,1301973155,010-3934-2301,할아버지공장
65,강남구청,145791269,,어니언
66,강남구청,1301973155,010-3934-2301,할아버지공장
67,강남구청,145791269,,어니언
68,건대입구,1301973155,010-3934-2301,할아버지공장
69,건대입구,145791269,,어니언
70,건대입구,1301973155,010-3934-2301,할아버지공장
71,건대입구,145791269,,어니언
72,검암,1301973155,010-3934-2301,할아버지공장
73,검암,145791269,,어니언
74,검암,1301973155,010-3934-2301,할아버지공장
75,검암,145791269,,어니언
76,계양,1301973155,010-3934-2301,할아버지공장
77,계양,145791269,,어니언
78,계양,1301973155,010-3934-2301,할아버지공장
79,계양,145791269,,어니언
80,광운대,1301973155,010-3934-2301,할아버지공장
81,광운대,145791269,,어니언
82,광운대,1301973155,010-3934-2301,할아버지공장
83,광운대,145791269,,어니언
84,교대,1301973155,010-3934-2301,할아버지공장
85,교대,145791269,,어니언
86,교대,1301973155,010-3934-2301,할아버지공장
87,교대,145791269,,어니언
88,군자,1301973155,010-3934-2301,할아버지공장
89,군자,145791269,,어니언
90,군자,1301973155,010-3934-2301,할아버지공장
91,군자,145791269,,어니언
92,금정,1301973155,010-3934-2301,할아버지공장
93,금정,145791269,,어니언
94,금정,1301973155,010-3934-2301,할아버지공장
95,금정,145791269,,어니언
96,기흥,1301973155,010-3934-2301,할아버지공장
97,기흥,145791269,,어니언
98,기흥,1301973155,010-3934-2301,할아버지공장
99,기흥,145791269,,어니언
100,까치산,1301973155,010-3934-2301,할아버지공장
101,까치산,145791269,,어니언
102,까치산,1301973155,010-3934-2301,할아버지공장
103,까치산,145791269,,어니언
104,노량진,1301973155,010-3934-2301,할아버지공장
105,노량진,145791269,,어니언
106,노량진,1301973155,010-3934-2301,할아버지공장
107,노량진,145791269,,어니언
108,노원,1301973155,010-3934-2301,할아버지공장
109,노원,145791269,,어니언
110,노원,1301973155,010-3934-2301,할아버지공장
111,노원,145791269,,어니언
112,당산,1301973155,010-3934-2301,할아버지공장
113,당산,145791269,,어니언
114,당산,1301973155,010-3934-2301,할아버지공장
115,당산,145791269,,어니언
116,대곡,1301973155,010-3934-2301,할아버지공장
117,대곡,145791269,,어니언
118,대곡,1301973155,010-3934-2301,할아버지공장
119,대곡,145791269,,어니언
120,대림,1301973155,010-3934-2301,할아버지공장
121,대림,145791269,,어니언
122,대림,1301973155,010-3934-2301,할아버지공장
123,대림,145791269,,어니언
124,도곡,1301973155,010-3934-2301,할아버지공장
125,도곡,145791269,,어니언
126,도곡,1301973155,010-3934-2301,할아버지공장
127,도곡,145791269,,어니언
128,도봉산,1301973155,010-3934-2301,할아버지공장
129,도봉산,145791269,,어니언
130,도봉산,1301973155,010-3934-2301,할아버지공장
131,도봉산,145791269,,어니언
132,동대문,1301973155,010-3934-2301,할아버지공장
133,동대문,145791269,,어니언
134,동대문,1301973155,010-3934-2301,할아버지공장
135,동대문,145791269,,어니언
136,동묘앞,1301973155,010-3934-2301,할아버지공장
137,동묘앞,145791269,,어니언
138,동묘앞,1301973155,010-3934-2301,할아버지공장
139,동묘앞,145791269,,어니언
140,동작,1301973155,010-3934-2301,할아버지공장
141,동작,145791269,,어니언
142,동작,1301973155,010-3934-2301,할아버지공장
143,동작,145791269,,어니언
144,마곡나루,1301973155,010-3934-2301,할아버지공장
145,마곡나루,145791269,,어니언
146,마곡나루,1301973155,010-3934-2301,할아버지공장
147,마곡나루,145791269,,어니언
148,망우,1301973155,010-3934-2301,할아버지공장
149,망우,145791269,,어니언
150,망우,1301973155,010-3934-2301,할아버지공장
151,망우,145791269,,어니언
152,모란,1301973155,010-3934-2301,할아버지공장
153,모란,145791269,,어니언
154,모란,1301973155,010-3934-2301,할아버지공장
155,모란,145791269,,어니언
156,미금,1301973155,010-3934-2301,할아버지공장
157,미금,145791269,,어니언
