,station,id,phone,place_name
0,공덕,17079438,02-761-1966,폴앤폴리나 여의도점
1,공덕,1693870533,02-6124-7892,교대이층집 여의도점
2,공덕,17079438,02-761-1966,폴앤폴리나 여의도점
3,공덕,1693870533,02-6124-7892,교대이층집 여의도점
4,김포공항,17079438,02-761-1966,폴앤폴리나 여의도점
5,김포공항,1693870533,02-6124-7892,교대이층집 여의도점
6,김포공항,17079438,02-761-1966,폴앤폴리나 여의도점
7,김포공항,1693870533,02-6124-7892,교대이층집 여의도점
8,서울역,17079438,02-761-1966,폴앤폴리나 여의도점
9,서울역,1693870533,02-6124-7892,교대이층집 여의도점
10,서울역,17079438,02-761-1966,폴앤폴리나 여의도점
11,서울역,1693870533,02-6124-7892,교대이층집 여의도점
12,왕십리,17079438,02-761-1966,폴앤폴리나 여의도점
13,왕십리,1693870533,02-6124-7892,교대이층집 여의도점
14,왕십리,17079438,02-761-1966,폴앤폴리나 여의도점
15,왕십리,1693870533,02-6124-7892,교대이층집 여의도점
16,청량리,17079438,02-761-1966,폴앤폴리나 여의도점
17,청량리,1693870533,02-6124-7892,교대이층집 여의도점
18,청량리,17079438,02-761-1966,폴앤폴리나 여의도점
19,청량리,1693870533,02-6124-7892,교대이층집 여의도점
20,고속터미널,17079438,02-761-1966,폴앤폴리나 여의도점
21,고속터미널,1693870533,02-6124-7892,교대이층집 여의도점
22,고속터미널,17079438,02-761-1966,폴앤폴리나 여의도점
23,고속터미널,1693870533,02-6124-7892,교대이층집 여의도점
24,동대문역사문화공원,17079438,02-761-1966,폴앤폴리나 여의도점
25,동대문역사문화공원,1693870533,02-6124-7892,교대이층집 여의도점
26,동대문역사문화공원,17079438,02-761-1966,폴앤폴리나 여의도점
27,동대문역사문화공원,1693870533,02-6124-7892,교대이층집 여의도점
28,디지털미디어시티,17079438,02-761-1966,폴앤폴리나 여의도점
29,디지털미디어시티,1693870533,02-6124-7892,교대이층집 여의도점
30,디지털미디어시티,17079438,02-761-1966,폴앤폴리나 여의도점
31,디지털미디어시티,1693870533,02-6124-7892,교대이층집 여의도점
32,상봉,17079438,02-761-1966,폴앤폴리나 여의도점
33,상봉,1693870533,02-6124-7892,교대이층집 여의도점
34,상봉,17079438,02-761-1966,폴앤폴리나 여의도점
35,상봉,1693870533,02-6124-7892,교대이층집 여의도점
36,신설동,17079438,02-761-1966,폴앤폴리나 여의도점
37,신설동,1693870533,02-6124-7892,교대이층집 여의도점
38,신설동,17079438,02-761-1966,폴앤폴리나 여의도점
39,신설동,1693870533,02-6124-7892,교대이층집 여의도점
40,종로3가,17079438,02-761-1966,폴앤폴리나 여의도점
41,종로3가,1693870533,02-6124-7892,교대이층집 여의도점
42,종로3가,17079438,02-761-1966,폴앤폴리나 여의도점
43,종로3가,1693870533,02-6124-7892,교대이층집 여의도점
44,홍대입구,17079438,02-761-1966,폴앤폴리나 여의도점
45,홍대입구,1693870533,02-6124-7892,교대이층집 여의도점
46,홍대입구,17079438,02-761-1966,폴앤폴리나 여의도점
47,홍대입구,1693870533,02-6124-7892,교대이층집 여의도점
48,회기,17079438,02-761-1966,폴앤폴리나 여의도점
49,회기,1693870533,02-6124-7892,교대이층집 여의도점
50,회기,17079438,02-761-1966,폴앤폴리나 여의도점
51,회기,1693870533,02-6124-7892,교대이층집 여의도점
52,가락시장,17079438,02-761-1966,폴앤폴리나 여의도점
53,가락시장,1693870533,02-6124-7892,교대이층집 여의도점
54,가락시장,17079438,02-761-1966,폴앤폴리나 여의도점
55,가락시장,1693870533,02-6124-7892,교대이층집 여의도점
56,가산디지털단지,17079438,02-761-1966,폴앤폴리나 여의도점
57,가산디지털단지,1693870533,02-6124-7892,교대이층집 여의도점
58,가산디지털단지,17079438,02-761-1966,폴앤폴리나 여의도점
59,가산디지털단지,1693870533,02-6124-7892,교대이층집 여의도점
60,강남,17079438,02-761-1966,폴앤폴리나 여의도점
61,강남,1693870533,02-6124-7892,교대이층집 여의도점
62,강남,17079438,02-761-1966,폴앤폴리나 여의도점
63,강남,1693870533,02-6124-7892,교대이층집 여의도점
64,강남구청,17079438,02-761-1966,폴앤폴리나 여의도점
65,강남구청,1693870533,02-6124-7892,교대이층집 여의도점
66,강남구청,17079438,02-761-1966,폴앤폴리나 여의도점
67,강남구청,1693870533,02-6124-7892,교대이층집 여의도점
68,건대입구,17079438,02-761-1966,폴앤폴리나 여의도점
69,건대입구,1693870533,02-6124-7892,교대이층집 여의도점
70,건대입구,17079438,02-761-1966,폴앤폴리나 여의도점
71,건대입구,1693870533,02-6124-7892,교대이층집 여의도점
72,검암,17079438,02-761-1966,폴앤폴리나 여의도점
73,검암,1693870533,02-6124-7892,교대이층집 여의도점
74,검암,17079438,02-761-1966,폴앤폴리나 여의도점
75,검암,1693870533,02-6124-7892,교대이층집 여의도점
76,계양,17079438,02-761-1966,폴앤폴리나 여의도점
77,계양,1693870533,02-6124-7892,교대이층집 여의도점
78,계양,17079438,02-761-1966,폴앤폴리나 여의도점
79,계양,1693870533,02-6124-7892,교대이층집 여의도점
80,광운대,17079438,02-761-1966,폴앤폴리나 여의도점
81,광운대,1693870533,02-6124-7892,교대이층집 여의도점
82,광운대,17079438,02-761-1966,폴앤폴리나 여의도점
83,광운대,1693870533,02-6124-7892,교대이층집 여의도점
84,교대,17079438,02-761-1966,폴앤폴리나 여의도점
85,교대,1693870533,02-6124-7892,교대이층집 여의도점
86,교대,17079438,02-761-1966,폴앤폴리나 여의도점
87,교대,1693870533,02-6124-7892,교대이층집 여의도점
88,군자,17079438,02-761-1966,폴앤폴리나 여의도점
89,군자,1693870533,02-6124-7892,교대이층집 여의도점
90,군자,17079438,02-761-1966,폴앤폴리나 여의도점
91,군자,1693870533,02-6124-7892,교대이층집 여의도점
92,금정,17079438,02-761-1966,폴앤폴리나 여의도점
93,금정,1693870533,02-6124-7892,교대이층집 여의도점
94,금정,17079438,02-761-1966,폴앤폴리나 여의도점
95,금정,1693870533,02-6124-7892,교대이층집 여의도점
96,기흥,17079438,02-761-1966,폴앤폴리나 여의도점
97,기흥,1693870533,02-6124-7892,교대이층집 여의도점
98,기흥,17079438,02-761-1966,폴앤폴리나 여의도점
99,기흥,1693870533,02-6124-7892,교대이층집 여의도점
100,까치산,17079438,02-761-1966,폴앤폴리나 여의도점
101,까치산,1693870533,02-6124-7892,교대이층집 여의도점
102,까치산,17079438,02-761-1966,폴앤폴리나 여의도점
103,까치산,1693870533,02-6124-7892,교대이층집 여의도점
104,노량진,17079438,02-761-1966,폴앤폴리나 여의도점
105,노량진,1693870533,02-6124-7892,교대이층집 여의도점
106,노량진,17079438,02-761-1966,폴앤폴리나 여의도점
107,노량진,1693870533,02-6124-7892,교대이층집 여의도점
