name,tel,addr,cusine_code,rating,review_count,lat,lng,thumbnail
행복빵집,02-3679-1281,서울시 서초구 방배동 773-1  1F,7,4.0,35,37.49506227,126.98925329,https://mp-seoul-image-production-s3.mangoplate.com/97227/555732_1511901695627_25986
달첨시루,010-3135-5132,서울시 관악구 봉천동 1624-4,7,4.0,6,37.4771586,126.9581398,https://mp-seoul-image-production-s3.mangoplate.com/424752/1800477_1601693556716_5093
정애맛담,02-3482-9886,서울시 동작구 사당동 91-177 남성사계시장,7,3.9,14,37.4884201,126.9806957,https://mp-seoul-image-production-s3.mangoplate.com/344049/mggfsm9k-jgczm.jpg
착한마을 마음이가,031-8017-7869,경기도 성남시 분당구 운중동 981-2,7,3.9,11,37.39305095,127.07651340000001,https://mp-seoul-image-production-s3.mangoplate.com/280233/7rqtoz4pylivgu.jpg
동해기정떡,033-645-3328,강원도 강릉시 유천동 251,7,3.9,11,37.76418899,128.86804565,https://mp-seoul-image-production-s3.mangoplate.com/2392_1537584315080113.jpg
안동버버리찰떡,054-843-0106,경상북도 안동시 옥야동 297-31,7,3.8,10,36.5637849,128.7211962,https://mp-seoul-image-production-s3.mangoplate.com/34573_1542431138903074.jpg
행복찹쌀떡,02-504-1281,경기도 과천시 중앙동 36,7,3.8,6,37.43280871,126.99261515,https://mp-seoul-image-production-s3.mangoplate.com/212434/803107_1526398336129_52582
평화떡집,053-473-8575,대구시 남구 봉덕동 954-12,7,3.7,7,35.84472656,128.60316467,https://mp-seoul-image-production-s3.mangoplate.com/19266/uiuu8tmft9h4tj.jpg
노란상소갈비,02-566-9290,서울시 강남구 역삼동 823-6  1F,1,4.6,8,37.4983888,127.0320871,https://mp-seoul-image-production-s3.mangoplate.com/584169_1606318731970205.jpg
티바이양크레프리,031-381-0427,경기도 안양시 동안구 비산동 1102-4,7,4.4,7,37.396898799999995,126.9448237,https://mp-seoul-image-production-s3.mangoplate.com/1042441_1606717803282202.jpg
송화산시도삭면,02-468-7826,서울시 광진구 자양동 6-63,2,4.1,12,37.539204299999994,127.06723559999999,https://mp-seoul-image-production-s3.mangoplate.com/722502_1606132713554968.jpg
부산횟집,055-862-1709,경상남도 남해군 서면 서상리 1674-1,1,0.0,5,34.810532,127.831084,https://mp-seoul-image-production-s3.mangoplate.com/610330_1606216925835462.jpg
누사펍,010-7414-9120,서울시 은평구 갈현동 402-42  B1,8,0.0,4,37.62001923,126.91800074,https://mp-seoul-image-production-s3.mangoplate.com/63413_1606129707447059.jpg
매일분식,02-720-2890,서울시 종로구 당주동 1,1,0.0,5,37.57259775,126.97426991,https://mp-seoul-image-production-s3.mangoplate.com/1009984_1606109594376563.jpg
제이드앤워터,,서울시 성동구 옥수동 285-8,8,0.0,3,37.5436519,127.015331,https://mp-seoul-image-production-s3.mangoplate.com/1601255_1606383682645162.jpg
마구로쇼쿠도,02-468-5141,서울시 성동구 성수동1가 14-46  B1,3,0.0,3,37.546068,127.0492493,https://mp-seoul-image-production-s3.mangoplate.com/439017/1042666_1606111275845_43013
텍사스로드하우스,031-8078-2058,경기도 남양주시 다산동 6141  1F,4,0.0,1,37.6161011,127.15271990000001,https://mp-seoul-image-production-s3.mangoplate.com/467077_1606225417315545.jpg
오우야 에스프레소바,02-2088-2101,서울시 마포구 합정동 370-25 엠슨빌딩,7,0.0,3,37.546682000000004,126.9131418,https://mp-seoul-image-production-s3.mangoplate.com/431952/743008_1606204384200_34850
부엌,070-8840-2668,서울시 송파구 삼전동 2-4,3,0.0,2,37.506519399999995,127.09104140000001,https://mp-seoul-image-production-s3.mangoplate.com/441846/192168_1606735504145_37183
이지현김밥,032-721-7038,인천시 남동구 구월동 1464  2F,1,0.0,2,37.4451441,126.7008682,https://mp-seoul-image-production-s3.mangoplate.com/2925_1606303462016839.jpg
황소고집,031-337-0661,경기도 용인시 처인구 모현읍 능원리 171-2,1,0.0,1,37.340798799999995,127.17378459999999,https://mp-seoul-image-production-s3.mangoplate.com/460278_1606345718195816.jpg
솔밭삼겹살,02-544-0715,서울시 서초구 반포동 746-9,1,0.0,1,37.5038054,127.0212201,https://mp-seoul-image-production-s3.mangoplate.com/33537_1606132371645864.jpg
모티,051-469-8253,부산시 동구 수정동 1174-11,8,4.3,5,35.1265788,129.0393529,https://mp-seoul-image-production-s3.mangoplate.com/333899/1245199_1576982200049_33961
문화공감 수정,051-441-0004,부산시 동구 수정동 1010,7,3.9,9,35.1256614,129.04264990000001,https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/321413/495395_1577497825275
소문난불백,051-464-0846,부산시 동구 초량동 667-8,1,3.8,14,35.12046686,129.0387111,https://mp-seoul-image-production-s3.mangoplate.com/26258/591811_1470024954884_67697
비엔씨,051-245-2361,부산시 중구 남포동2가 24-8,7,3.7,64,35.09831153,129.0320485,https://mp-seoul-image-production-s3.mangoplate.com/27597_1533891960188664.jpg
클라우드밤,051-245-2369,부산시 중구 남포동6가 98-8  2F,7,0.0,4,35.09837566,129.02665215,https://mp-seoul-image-production-s3.mangoplate.com/189925/641116_1486668789225_641116_1486557629516_641116_1486555350386_13473
정항우케익,051-242-5938,부산시 중구 남포동5가 38-2,7,0.0,5,35.0980427,129.0283909,https://mp-seoul-image-production-s3.mangoplate.com/716653_1493967277043840.jpg
백광상회,051-246-3089,부산시 중구 남포동2가 15-1,1,0.0,2,35.09881323,129.0315469,https://mp-seoul-image-production-s3.mangoplate.com/17112/398645_1541368087246_6050
하늘어장,051-242-1865,부산시 중구 남포동2가 22-1 남포문고 13F,1,0.0,6,35.09831132,129.03152313,https://mp-seoul-image-production-s3.mangoplate.com/31912/947356_1556531951666_83502
모즈,02-542-5048,서울시 강남구 신사동 626-68,3,4.4,19,37.523095700000006,127.03220220000001,https://mp-seoul-image-production-s3.mangoplate.com/189684/449685_1599632364571_19974
오오토리,02-2231-7555,서울시 중구 신당동 364-12,3,4.4,8,37.55306470000001,127.0088014,https://mp-seoul-image-production-s3.mangoplate.com/354587/1245199_1565939886793_25747
어화,042-822-0080,대전시 유성구 장대동 365-3,3,4.4,7,36.359109100000005,127.3391794,https://mp-seoul-image-production-s3.mangoplate.com/47875_1599055005796916.jpg
슈엔,02-514-5142,서울시 서초구 잠원동 14-8,3,4.3,8,37.5163004,127.01812520000001,https://mp-seoul-image-production-s3.mangoplate.com/872233_1605866866510024.jpg
아소토,010-3343-9622,서울시 마포구 합정동 371-1,3,4.3,7,37.5471341,126.91422460000001,https://mp-seoul-image-production-s3.mangoplate.com/1076001_1582552291873476.jpg
재패니즈다이닝안심,070-8808-0618,서울시 강남구 역삼동 699-3  2F,3,4.1,18,37.50513775,127.04260604,https://mp-seoul-image-production-s3.mangoplate.com/31435_1556232671485923.jpg
