,id,name,tel,category,shortAddress,bizhourInfo,menuInfo,star
0,19862383,성수족발,02-464-0425,"['한식', '족발,보쌈']","['서울 성동구', '아차산로7길 7', '동진빌딩 1층 성수족발']",매일 12:00~22:00 명절 휴무,"족발 (특대) 50,000 | 족발 (대) 45,000 | 족발 (중) 40,000 | 소주 4,000 | 맥주 5,000 | 클라우드 드래프트 5,000 | 막걸리 3,000 | 청하 5,000 | 백세주 8,000 | 음료수 2,000 | 공기밥 1,000",4.27
1,38561949,어니언 성수,070-4353-3238,"['음식점', '카페,디저트']","['서울 성동구', '아차산로9길 8', '어니언']",평일 08:00~22:00 last order 21:30 | 주말 10:00~22:00 last order 21:30,"에스프레소 4,300 | 에스프레소 콘파냐 4,800 | 아메리카노 5,000 | 디카페인 커피 5,300 | 플랫 화이트 5,500 | 카페 라떼 5,500 | 카푸치노 5,500 | 이탈리안 카푸치노 5,300 | 바닐라 라떼 6,000 | 어니언 카페 모카 6,800 | 어니언 아인슈페너 6,500 | 딸기 요거트 6,500 | 베네수엘라 초콜렛 라떼 6,800 | 밀크티 6,500 | 패션후르츠 에이드 6,500 | 로즈 에이드 6,500 | 제주 당근 주스 6,300 | 꽃차 6,500 | 패션후르츠 티 6,500 | 로즈 티 6,500",4.39
2,11721256,소문난성수감자탕,02-465-6580,"['한식', '감자탕']","['서울 성동구', '연무장길 45']",매일 00:00~24:00 연중무휴,"감자국식사 7,500 | 감자탕 (소) 25,000 | 감자탕 (중) 28,000 | 감자탕 (대) 38,000 | 뼈추가 9,000 | 포장 (1인분) 10,000",4.35
3,1708120554,소바식당,02-6339-1552,"['일식', '우동,소바']","['서울 성동구', '연무장7가길 6']",매일 11:00~21:00 Break time 15:00~17:00,"전복,단새우 냉소바 13,000 | 단새우 냉소바 11,000 | 전복 냉소바 12,000 | 한우양지온면(특) 12,000 | 성게알덮밥(中) 18,000 | 연어덮밥 9,000 | 백명란덮밥 9,000 | 모듬고로케 9,000 | 타마고멘치카츠 9,000 | 게딱지장 덮밥 8,000 | 왕새우튀김 6,000",4.31
4,34572827,자그마치,070-4409-7700,"['음식점', '카페,디저트']","['서울 성동구', '성수이로 88']",매일 11:00~23:00 라스트오더:22시30분,"에스프레소 5,000 | 아메리카노 5,000 | 카페라떼 5,500 | 플랫화이트 5,000 | 모카라떼 6,000 | 말차라떼 7,000 | 얼그레이 프렌치 블루 7,000",4.28
5,1778707941,탐광,070-8869-3333,"['일식', '일식당']","['서울 성동구', '연무장5가길 26']","매일 11:30~21:00 15시~17시 쉬는시간/20시30분 마지막주문/예약불가/신정, 설당일&전날, 추석당일&전날 휴무","가츠동 9,000",4.27
6,36813148,라화쿵부 건대점,02-462-7778,"['중식', '중식당']","['서울 광진구', '아차산로30길 42', '1~2층']",매일 00:00~24:00,"마라탕 100g(5000원부터) 1,650 | 마라샹궈 100g 3,000 | 매운가재볶음 30,000 | 소고기야채쌀국수 8,000 | 완자야채쌀국수 8,000 | 양고기야채쌀국수 8,000 | 야채쌀국수 8,000 | 해물쌀국수 10,000 | 볶음면 8,000 | 볶음밥 7,000 | 훈둔 6,000 | 고기만두 7,000",4.53
7,1147099064,텐동식당,02-6339-0309,"['일식', '덮밥']","['서울 성동구', '연무장5가길 20-1', '1층']",매일 11:00~21:00 Break time 15:00~17:00,"스페셜텐동 15,000 | 에비텐동 13,000 | 아나고텐동 12,000 | 이까 텐동 11,000 | 치킨 가라아게동 10,000 | 기본텐동 9,000 | 참깨 연두부 샐러드 2,000 | 모듬 덴뿌라(2人) 22,000 | 치킨가라아게(5p) 8,000 | 양파카레 3,000",4.1
8,1092567422,텅플래닛,02-498-1113,"['음식점', '카페,디저트']","['서울 성동구', '성수이로 82', '2층']",월요일 11:00~21:00 | 화요일 11:00~21:00 | 수요일 11:00~21:00 | 목요일 11:00~23:00 | 금요일 11:00~23:00 | 토요일 11:00~23:00 | 일요일 11:00~21:00,"텅 시그니처 8,000 | 텅 아메리카노 5,500 | 텅 이모지케이크 12,000 | 텅 쿠키 3,000 | 텅 라떼 6,000 | 텅 자몽 에이드 7,000 | 텅 청사과 에이드 7,000 | 텅 복숭아 에이드 7,000 | 텅 커피 블렌디드 8,000 | 텅 요거트 블렌디드 7,500 | 텅 베리 블렌디드 7,500 | 텅 레이어드 케이크 13,000 | 텅플래닛 머랭 9,000 | 텅 팝파이 9,000 | 텅 콤마 7,000 | 텅 쿼트 7,000 | 텅 피리어드 7,000",4.59
9,1505851325,굿갓레스토랑 성수역점,010-3748-2497,"['음식점', '양식']","['서울 성동구', '연무장길 41-22', '2층 201호']",평일 11:30~21:30 15:00~17:00 last order 20:50 | 토요일 11:30~21:30 브레이크타임 x last order 20:50 | 일요일 11:30~21:00 브레이크타임 x last order 20:30 | 공휴일 11:30~21:30 브레이크타임 x last order 20:50,"등심팬스테이크 19,000 | 매콤 명란 오일 파스타 15,000 | 소고기크림 리조또 15,000 | 리코타 발사믹 그린 샐러드 8,000 | 양갈비등심안심모듬팬 32,000",4.52
10,742676592,마를리,02-467-0303,"['카페,디저트', '케이크전문']","['서울 성동구', '연무장길 47', '홍원빌딩']",매일 09:00~23:00,"아메리카노 4,000 | 밀차라떼 5,500 | 레몬차 6,000 | 얼그레이 6,000 | 리얼초코렛 5,500 | 아보카도 사과주스 7,000",4.4
11,37408586,핑거팁스,070-4232-0805,"['음식점', '햄버거']","['서울 성동구', '연무장7가길 5-1', '1층']","평일 11:30~21:00 Break Time 15:00~17:30, Lunch last by 14:30, Dinner last by 20:30 | 주말 12:00~21:00 Break Time 16:00~17:00, Lunch last by 16:00, Dinner last by 20:30 | 공휴일 12:00~21:00 Break Time 16:00~17:00, Lunch last by 16:00, Dinner last by 20:30","치즈인덱스버거 7,900 | 미들버거 8,900 | 링버거 9,900 | 썸버거 10,900 | 미트볼 7,500 | 스파이시 버거보울 14,500 | 포테이토 머쉬룸 스프 6,500 | 씨저샐러드 8,500",0
12,1469201439,르프리크,02-2054-0119,"['음식점', '햄버거']","['서울 성동구', '연무장5길 9-16', 'B103호 LE FREAK']",매일 11:30~21:00 월요일 휴무 / BREAK TIME (15:00~17:30) / 런치 11:30~15:00 (라스트오더 14:30) / 디너 17:30~21:00 (라스트오더 20:30),"Signature 9,800 | Chat Potato 6,500",4.39
13,1655086560,칙피스 성수점,02-2054-0248,"['양식', '샌드위치']","['서울 성동구', '연무장5길 9-16', '블루스톤타워 1층 101호']",매일 11:30~21:00 Last Order 8:30PM,"팔라펠 버거 (Falafel Burger) 6,000 | 더 비건 버거 (The Vegan) 8,000 | 오믈렛 버거 (Omelette) 8,000 | 치킨 샤와르마 (Chicken Shawarma) 8,000 | 감자튀김 (French Fries) 4,000 | 오리지널 허무스 (Original Hummus) 5,000 | 사비흐 허무스 (Sabich Hummus) 7,000 | 통구이 콜리플라워 (Whole Roasted Cauliflower) 9,900 | 샥슈카 램/치킨 (Shakshuka Lamb/Chicken) 변동가격(업주문의) | 팔라펠 샐러드 (Falafel Salad) 6,000 | 더 비건 샐러드 (The Vegan Salad) 8,000 | 사비흐 샐러드 (Sabich Salad) 9,000 | 오믈렛 샐러드 (Omelette Salad) 10,000 | 아보카도 샐러드 (Avocado Salad) 10,000 | 치킨 샐러드 (Chicken Salad) 8,000 | 램케밥 샐러드 (Lamb Kebab Salad) 10,000 | 그릴 쉬림프 샐러드 (Grilled Shrimp Salad) 10,000 | 부채살 샐러드 (Flat Iron Steak Salad) 11,000 | 연어 스테이크 샐러드 (Salmon Steak Salad) 13,000 | 치킨 라이스 (Chicken Rice) 9,900 | 램케밥 라이스 (Lamb Kebab Rice) 10,900 | 부채살 라이스 (Flat Iron Steak Rice) 12,900 | 그릴 쉬림프 라이스 (Grilled Shrimp Rice) 10,900 | 팔라펠 라이스 (Falafel Rice) 9,900",4.49
14,548365578,글로우,070-5097-5506,"['카페,디저트', '카페']","['서울 성동구', '아차산로9길 20', '1층 글로우']","평일 09:00~22:00 신정, 구정, 추석 당일 휴무 | 주말 10:00~22:00","루나바닐라 5,500 | 칵테일(논알콜) 3종 5,500 | 필터커피 5,000 | 버터스카치(시그니쳐) 5,500 | 플랫그린(시그니쳐) 5,500 | 단호박크림라떼 5,500 | 시나모니(시그니쳐) 5,500 | 에이드 6,500",4.42
15,1920277706,잠수교집 성수점,02-465-0434,"['한식', '돼지고기구이']","['서울 성동구', '아차산로 137', '1층 잠수교집']",매일 11:30~23:00 연중무휴,"냉동 삼겹살 13,000 | 청국장 7,000 | 얼큰순두부 7,000 | 맑은명란탕 9,000 | 명품명란쌈장 6,000 | 옛날깻잎국물떡볶이 8,000 | 볶음밥 4,000 | 파김치 3,000 | 미나리 2,500 | 꽈리고추 2,500 | 미나리+꽈리 세트 3,000",4.45
16,1909731083,kuna,010-8008-1028,"['음식점', '이탈리아음식']","['서울 성동구', '연무장5길 9-16', '105호']",월요일 17:00~22:00 | 평일 12:00~22:00 | 토요일 12:00~22:00 | 일요일 12:00~20:00 | 매일 15:00~17:00 Break Time,"바질페스토 파스타 19,000 | 포르치니와 4가지 버섯 베이컨 크림 뇨끼 19,000 | 부라타 16,000 | 그라브락스 리코타 18,000 | 크리스피하게 구운 문어 23,000 | 가지 라자냐 21,000 | 가지 튀김 12,000 | 이탈리안식 멘보샤 13,000 | 로브스터 먹물 뇨끼 29,000 | 오리 가슴살 스테이크 30,000",4.65
17,37699752,미아논나,02-2054-0111,"['양식', '샌드위치']","['서울 성동구', '연무장5길 9-16', '블루스톤타워 104호']",평일 08:00~20:00 | 주말 11:00~19:00 | 목요일 휴무,"후무스캐롯 12,000 | VERY 이탈리안 10,000 | 아메리카노 3,800",4.48
18,34203618,매운향솥,02-6461-0016,"['중식', '중식당']","['서울 광진구', '동일로18길 61']",매일 11:30~23:30 연중무휴,"홍소퓨전해물볶음 15,000 | 농가고기볶음 12,000 | 마늘오징어머리 12,000 | 깐풍기 12,000 | 라조기 12,000 | 향라육사 12,000 | 경장육사 12,000 | 어향육사 12,000 | 천향돼지고기볶음 12,000 | 깐밴육사 12,000 | 향라감자볶음 12,000 | 홍소갈비 11,000 | 크림새우 11,000 | 깐풍새우 11,000 | 청경채새우볶음 11,000 | 바지락볶음 11,000 | 퓨전두부요리 10,000 | 백김치당면볶음 10,000 | 지삼선 9,000 | 토마토계란볶음 9,000 | 마파두부 7,000 | 건두부볶음 7,000 | 오이소고기무침 12,000 | 파단두부 10,000 | 가정식냉채 7,000 | 오이양장피 7,000 | 오이무침 7,000 | 해물두부탕 9,000 | 토마토계란탕 6,000 | 쏸라탕 6,000 | 해물볶음면 7,000 | 볶음면 6,000 | 온면 6,000 | 가지볶음밥 6,000 | 계란볶음밥 5,000 | 냉면 5,000 | 물만두 5,000 | 꿔바로우 11,000",4.39
19,13564309,라구뜨,02-2218-5770,"['음식점', '뷔페']","['서울 광진구', '능동로 90', '더클래식500 B동 3층']",평일 07:00~21:30 | 토요일 07:00~21:30 | 일요일 07:00~21:00 | 공휴일 07:00~21:00,"주중/주말 아침뷔페(07:00~10:00) 성인 22,000 | 주중 점심 뷔페(12:00~14:30) 성인 49,500 | 주중 저녁 뷔페(18:00~21:30) 성인 62,000 | 주말·공휴일 뷔페 성인 65,000",4.52
20,1797520528,이오로비스트로,02-498-0702,"['음식점', '퓨전음식']","['서울 성동구', '연무장5길 18', '1층']","매일 11:00~21:30 브레이크타임 15:30-17:00/ 라스트오더 20:30/금,토,일 및 공휴일 예약불가","매콤명란파스타 13,900 | 명란새우크림파스타 13,900 | 야끼대창파스타 13,900 | 바질페스토새우 파스타 14,900 | 참치노리마끼 14,900 | 지라시스시 19,900 | 부타규동 10,900 | 김치대창필라프 11,900 | 타마고야끼만두 6,500 | 타마고산도 7,500 | 연어주먹초밥 8,500 | 문어치킨과 감자튀김 12,900 | 특사케동 13,900 | 연어우니동 17,900 | 참치우니동 18,900",4.4
21,1321493330,카페온화 성수,02-461-0031,"['음식점', '카페,디저트']","['서울 성동구', '아차산로 78', '1층']",매일 11:00~23:00 라스트오더 22:00,"벌집수플레 20,000 | 플레인수플레 16,000 | 딸기수플레 19,000 | 만다린수플레 18,000 | 핸드드립 온 5,900 | 핸드드립 화 5,900 | 싱글오리진 7,000 | 아메리카노 5,900 | 카페라떼 6,500 | 오레그랏세 6,500 | 아인슈페너 7,500 | 밀크티 7,500",4.28
22,37383920,성수닭칼,02-461-1312,"['한식', '닭요리']","['서울 성동구', '연무장3길 21']",매일 11:00~22:30,"닭한마리 28,000 | 닭다리 칼국수 8,500 | 닭도리탕 27,000 | 해신칼국수 16,000 | 닭개장칼국수 8,500 | 바지락칼국수 8,500 | 닭가슴살국수 8,500",4.33
