,name,address,tel,score,count_evaluation,star
0,의정부부대찌개 한양대점,서울특별시 성동구 행당동 32-19,정보없음,23점,3,3.5
1,타이거슈가 홍대본점,서울특별시 마포구 서교동 346-43,02-336-1341,56점,16,4.3
2,서울미트볼 영등포구청점,서울 영등포구 당산동4가 62-1 2층,070-7677-8559,24점,1,4.0
3,백채,서울특별시 서초구 방배동 910-8,02-6408-4709,13점,평가자 없음,Nan
4,카페 마마스 센터원점,서울특별시 중구 수하동 67 미래에셋빌딩 1층,02-6030-8979,59점,9,3.9
5,마복림할머니 막내아들네,서울특별시 중구 신당동 292-175,02-962-8288,16점,1,3.0
6,쉬즈베이글 신림점,서울특별시 관악구 신림동 1433-227,070-7818-5590,29점,2,4.0
7,호반집,서울특별시 중구 인현동1가 24-2,02-2274-2415,36점,1,5.0
8,포베이,서울특별시 광진구 구의동 546-4,02-3424-1900,29점,2,5.0
9,쭈불앤쭈불,서울특별시 강남구 삼성동 159 코엑스몰 B1 Q121,02-551-5988,55점,10,4.1
10,스타벅스,서울특별시 성동구 도선동 58-1,02-758-8900,21점,1,4.0
11,당고집,서울특별시 마포구 합정동 356-9 1층,070-7573-3164,51점,8,3.6
12,김창일스시,서울특별시 관악구 봉천동 1655-50,02-3285-4824,34점,3,4.6
13,기찻길연탄불생고기,서울특별시 영등포구 당산동6가 320,02-2637-9282,53점,7,4.3
14,래리성,서울특별시 구로구 구로동 169-4,02-867-1271,26점,1,5.0
15,라피자노스트라,서울특별시 강남구 대치동 889-5,02-567-1220,51점,2,4.0
16,장사랑 현대백화점디큐브시티점,서울특별시 구로구 신도림동 692,02-2210-9539,30점,3,4.4
17,특우정,서울특별시 성동구 홍익동 47,02-2293-7575,14점,평가자 없음,Nan
18,이태리차차,서울 성동구 성수동1가 16-25,02-465-8893,33점,2,4.7
19,노보텔 앰배서더 서울 동대문 고메바,서울시 중구 을지로6가 58-5 노보텔 앰배서더 서울 동대문 20층,02-3425-8102,38점,3,4.3
