"전철역코드","전철역명","호선","외부코드"
"2622","망원","06호선","621"
"2623","합정","06호선","622"
"2624","상수","06호선","623"
"2625","광흥창","06호선","624"
"2626","대흥","06호선","625"
"2633","버티고개","06호선","632"
"2634","약수","06호선","633"
"2635","청구","06호선","634"
"2636","신당","06호선","635"
"2727","군자","07호선","725"
"2732","강남구청","07호선","730"
"2733","학동","07호선","731"
"2734","논현","07호선","732"
"2735","반포","07호선","733"
"2736","고속터미널","07호선","734"
"2737","내방","07호선","735"
"2738","이수","07호선","736"
"2753","까치울","07호선","751"
"2754","부천종합운동장","07호선","752"
"2755","춘의","07호선","753"
"2761","부평구청","07호선","759"
"2811","암사","08호선","810"
"2812","천호","08호선","811"
"2813","강동구청","08호선","812"
"2535","종로3가","05호선","534"
"2555","둔촌동","05호선","P549"
"2556","올림픽공원","05호선","P550"
"2563","미사","05호선","555"
"2564","하남풍산","05호선","556"
"2611","응암","06호선","610"
"2612","역촌","06호선","611"
"2613","불광","06호선","612"
"2614","독바위","06호선","613"
"2615","연신내","06호선","614"
"2616","구산","06호선","615"
"2617","새절","06호선","616"
"2618","증산","06호선","617"
"2619","디지털미디어시티","06호선","618"
"2620","월드컵경기장","06호선","619"
"2621","마포구청","06호선","620"
"0332","양재","03호선","342"
"0333","매봉","03호선","343"
"0334","도곡","03호선","344"
"0335","대치","03호선","345"
"0336","학여울","03호선","346"
"0337","대청","03호선","347"
"0338","일원","03호선","348"
"0339","수서","03호선","349"
"0434","남태령","04호선","434"
"2511","방화","05호선","510"
"2512","개화산","05호선","511"
"2513","김포공항","05호선","512"
"2514","송정","05호선","513"
"2515","마곡","05호선","514"
"2531","애오개","05호선","530"
"2533","서대문","05호선","532"
"2534","광화문","05호선","533"
"4132","석촌고분","09호선","932"
"0214","강변","02호선","214"
"0215","잠실나루","02호선","215"
"0216","잠실","02호선","216"
"0217","잠실새내","02호선","217"
"0322","동대입구","03호선","332"
"0324","금호","03호선","334"
"0325","옥수","03호선","335"
"0326","압구정","03호선","336"
"0327","신사","03호선","337"
"0328","잠원","03호선","338"
"0329","고속터미널","03호선","339"
"0330","교대","03호선","340"
"0331","남부터미널","03호선","341"
"1458","금정","04호선","443"
"0218","종합운동장","02호선","218"
"0219","삼성","02호선","219"
"0220","선릉","02호선","220"
"0221","역삼","02호선","221"
"0222","강남","02호선","222"
"0223","교대","02호선","223"
"0317","경복궁","03호선","327"
"0318","안국","03호선","328"
"0319","종로3가","03호선","329"
"0320","을지로3가","03호선","330"
"2627","공덕","06호선","626"
"2628","효창공원앞","06호선","627"
"4133","석촌","09호선","933"
"4134","송파나루","09호선","934"
"4135","한성백제","09호선","935"
"4136","올림픽공원","09호선","936"
"4137","둔촌오륜","09호선","937"
"0225","방배","02호선","225"
"0226","사당","02호선","226"
"0227","낙성대","02호선","227"
"0228","서울대입구","02호선","228"
"0229","봉천","02호선","229"
"0230","신림","02호선","230"
"0231","신대방","02호선","231"
"0232","구로디지털단지","02호선","232"
"0234","신도림","02호선","234"
"0235","문래","02호선","235"
"0236","영등포구청","02호선","236"
"2629","삼각지","06호선","628"
"2630","녹사평","06호선","629"
"2631","이태원","06호선","630"
"2632","한강진","06호선","631"
"0244","용답","02호선","211-1"
"0249","신정네거리","02호선","234-3"
"0309","지축","03호선","319"
"0310","구파발","03호선","320"
"0311","연신내","03호선","321"
"0312","불광","03호선","322"
"0313","녹번","03호선","323"
"0314","홍제","03호선","324"
"0315","무악재","03호선","325"
"0316","독립문","03호선","326"
"1908","녹양","01호선","108"
"2637","동묘앞","06호선","636"
"2638","창신","06호선","637"
"2724","사가정","07호선","722"
"2725","용마산","07호선","723"
"2726","중곡","07호선","724"
"2728","어린이대공원","07호선","726"
"0202","을지로입구","02호선","202"
"0203","을지로3가","02호선","203"
"0204","을지로4가","02호선","204"
"0205","동대문역사문화공원","02호선","205"
"0206","신당","02호선","206"
"0209","한양대","02호선","209"
"0210","뚝섬","02호선","210"
"0211","성수","02호선","211"
"0212","건대입구","02호선","212"
"0213","구의","02호선","213"
"0237","당산","02호선","237"
"0238","합정","02호선","238"
"0239","홍대입구","02호선","239"
"0240","신촌","02호선","240"
"0241","이대","02호선","241"
"0242","아현","02호선","242"
"0243","충정로","02호선","243"
"2532","충정로","05호선","531"
"2739","남성","07호선","737"
"2740","숭실대입구","07호선","738"
"2741","상도","07호선","739"
"2742","장승배기","07호선","740"
"2743","신대방삼거리","07호선","741"
"2744","보라매","07호선","742"
"2745","신풍","07호선","743"
"2746","대림","07호선","744"
"2747","남구로","07호선","745"
"2748","가산디지털단지","07호선","746"
"2749","철산","07호선","747"
"2750","광명사거리","07호선","748"
"2751","천왕","07호선","749"
"2752","온수","07호선","750"
"0340","가락시장","03호선","350"
"0341","경찰병원","03호선","351"
"0342","오금","03호선","352"
"0409","당고개","04호선","409"
